alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
-5,-0.6028,0.00981,0.00382,0.0075,0.9939,0.1693,-2.0439,0,0.2565
-4,-0.459,0.00844,0.00305,-0.0002,0.9817,0.2999,-1.486,0,0.2442
-3,-0.3196,0.00732,0.00245,-0.0062,0.9636,0.4336,-1.0483,0,0.2253
-2,-0.209,0.00651,0.00203,-0.0052,0.9202,0.5514,-0.757,0,0.22
-1,-0.1046,0.00602,0.00175,-0.0026,0.8532,0.6614,-0.5548,0,0.2204
0,0,0.00586,0.00167,0,0.765,0.765,-0.4147,0,0.448
1,0.1046,0.00602,0.00175,0.0026,0.6614,0.8532,-0.5548,0,0.2204
2,0.209,0.00651,0.00203,0.0052,0.5514,0.9202,-0.757,0,0.22
3,0.3196,0.00732,0.00245,0.0062,0.4336,0.9636,-1.0483,0,0.2253
4,0.459,0.00844,0.00305,0.0001,0.2999,0.9818,-1.486,0,0.2442
5,0.6029,0.00981,0.00381,-0.0075,0.1693,0.9939,-2.044,0,0.2565
6,0.7269,0.01118,0.00479,-0.0112,0.0906,1,-2.6626,0,0.2587
7,0.8097,0.01252,0.00598,-0.006,0.0585,1,-3.2246,0,0.2498
8,0.8921,0.01397,0.0075,-0.0007,0.044,1,-3.9024,0,0.2421
9,0.9732,0.01582,0.00942,0.0046,0.0344,1,-4.6081,0,0.2355
10,1.0467,0.0188,0.01261,0.0104,0.0269,1,-5.2788,0,0.2291
11,1.1274,0.02107,0.01514,0.0146,0.0246,1,-6.0423,0,0.2247
12,1.1946,0.02407,0.01843,0.0199,0.0219,1,-6.7737,0,0.2195
13,1.2019,0.03106,0.02592,0.0302,0.0188,1,-7.2527,0,0.2095
14,1.2352,0.03668,0.03193,0.0331,0.0177,1,-7.9657,0,0.206
15,1.227,0.04905,0.04487,0.0308,0.0167,1,-8.3152,0,0.2056
16,1.178,0.07026,0.06671,0.0203,0.0163,1,-8.2511,0,0.2112
17,1.0672,0.10617,0.10333,-0.0001,0.0164,1,-7.4344,0,0.2264
