xflr5 v6.54

 Calculated polar for: NACA 4412_HW1

 1 1 Reynolds number fixed          Mach number fixed         

 xtrf =   1.000 (top)        1.000 (bottom)
 Mach =   0.000     Re =     0.600 e 6     Ncrit =   9.000

alpha,CL,CD,CDp,Cm,Top Xtr,Bot Xtr,Cpmin,Chinge,XCp
 -5.000,-0.0759, 0.01025, 0.00422,-0.1065,0.8818,0.0491,-2.5018, 0.0000,-1.1898
 -4.000, 0.0344, 0.00933, 0.00322,-0.1059,0.8488,0.0702,-1.9073, 0.0000, 3.3859
 -3.000, 0.1447, 0.00863, 0.00248,-0.1053,0.8078,0.1093,-1.3776, 0.0000, 0.9871
 -2.000, 0.2552, 0.00817, 0.00208,-0.1048,0.7628,0.1789,-0.9519, 0.0000, 0.6636
  0.000, 0.4690, 0.00701, 0.00193,-0.1030,0.6566,0.6555,-0.7716, 0.0000, 0.4682
  1.000, 0.5905, 0.00668, 0.00211,-0.1042,0.6044,1.0000,-0.8686, 0.0000, 0.4239
  2.000, 0.6949, 0.00719, 0.00231,-0.1027,0.5599,1.0000,-0.9646, 0.0000, 0.3941
  3.000, 0.8014, 0.00771, 0.00265,-0.1016,0.5237,1.0000,-1.0756, 0.0000, 0.3721
  4.000, 0.9080, 0.00828, 0.00311,-0.1006,0.4923,1.0000,-1.2105, 0.0000, 0.3551
  5.000, 1.0131, 0.00892, 0.00365,-0.0995,0.4591,1.0000,-1.4759, 0.0000, 0.3413
  6.000, 1.1159, 0.00963, 0.00431,-0.0980,0.4166,1.0000,-1.8799, 0.0000, 0.3297
  7.000, 1.2142, 0.01056, 0.00509,-0.0958,0.3591,1.0000,-2.3855, 0.0000, 0.3196
  8.000, 1.2987, 0.01234, 0.00646,-0.0916,0.2629,1.0000,-2.9451, 0.0000, 0.3098
  9.000, 1.3614, 0.01529, 0.00875,-0.0842,0.1427,1.0000,-3.5068, 0.0000, 0.2997
 10.000, 1.4056, 0.01866, 0.01173,-0.0741,0.0699,1.0000,-4.0289, 0.0000, 0.2891
 11.000, 1.4512, 0.02221, 0.01527,-0.0657,0.0447,1.0000,-4.5717, 0.0000, 0.2800
 12.000, 1.4880, 0.02681, 0.02004,-0.0580,0.0338,1.0000,-5.1887, 0.0000, 0.2720
 13.000, 1.5033, 0.03396, 0.02747,-0.0509,0.0267,1.0000,-5.7107, 0.0000, 0.2649
 14.000, 1.5292, 0.04116, 0.03498,-0.0471,0.0234,1.0000,-6.3201, 0.0000, 0.2598
 15.000, 1.5218, 0.05289, 0.04704,-0.0444,0.0201,1.0000,-6.7295, 0.0000, 0.2561
 16.000, 1.4993, 0.06774, 0.06236,-0.0441,0.0184,1.0000,-7.0166, 0.0000, 0.2541
 17.000, 1.4893, 0.08202, 0.07705,-0.0457,0.0172,1.0000,-7.3811, 0.0000, 0.2530
 18.000, 1.4703, 0.09807, 0.09351,-0.0488,0.0161,1.0000,-7.6635, 0.0000, 0.2532


